 , , ,log2019-04-25_10-07-55,ep ,297,step ,34,r ,-1.340
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,297,step,1,state,"(1, 0)",3,"(1, 0)",--,0.235,-0.040,0.223,0.235,0.080,0.229,0.161,0.233,0.232,--,551,440,631,669,911,719,675,769,675,--,Greedy,0
Episode,297,step,4,state,"(1, 0)",3,"(0, 0)",--,0.235,-0.040,0.223,0.236,0.080,0.229,0.161,0.233,0.232,--,551,440,631,672,911,719,675,769,675,--,Greedy,0.1
Episode,297,step,7,state,"(0, 0)",8,"(1, 4)",--,0.202,0.196,0.228,0.117,0.209,0.180,0.219,0.207,0.233,--,251,256,278,414,661,604,622,702,527,--,Greedy,-0.12
Episode,297,step,8,state,"(1, 4)",7,"(2, 4)",--,0.139,0.225,0.224,0.171,0.107,0.162,0.199,0.349,0.173,--,10,16,17,27,31,26,77,55,73,--,Greedy,0.1
Episode,297,step,9,state,"(2, 4)",0,"(2, 0)",--,0.365,0.334,0.459,0.401,0.394,0.329,0.530,0.307,0.356,--,51,90,20,40,40,51,110,86,30,--,Epsilon = 0.32,0.4
Episode,297,step,18,state,"(2, 0)",7,"(2, 1)",--,0.190,0.217,0.147,0.105,0.162,0.178,0.141,0.234,0.128,--,576,899,770,808,632,450,455,418,346,--,Greedy,-0.12
Episode,297,step,22,state,"(2, 1)",1,"(2, 2)",--,-0.246,-0.369,-0.127,-0.256,-0.312,-0.215,-0.134,0.077,-0.272,--,87,130,70,162,104,82,90,92,54,--,Epsilon = 0.32,-0.8
Episode,297,step,23,state,"(2, 2)",1,"(1, 22)",--,-0.786,-0.304,-0.548,-0.438,-0.358,-0.313,-0.438,-0.506,-0.548,--,25,29,55,22,44,25,31,53,64,--,Greedy,-0.2
Episode,297,step,24,state,"(1, 22)",3,"(0, 22)",--,0.324,-0.154,-0.145,-0.174,-0.191,-0.513,-0.169,-0.466,-0.171,--,3,5,3,15,7,6,1,4,3,--,Epsilon = 0.32,-0.2
Episode,297,step,25,state,"(0, 22)",6,"(1, 22)",--,-0.091,-0.153,-0.101,-0.131,0.311,-0.180,-0.093,-0.207,-0.171,--,7,3,3,18,5,4,3,10,4,--,Epsilon = 0.32,-0.2
Episode,297,step,26,state,"(1, 22)",8,"(2, 22)",--,0.324,-0.154,-0.145,-0.109,-0.191,-0.513,-0.169,-0.466,-0.171,--,3,5,3,16,7,6,1,4,3,--,Epsilon = 0.32,-0.2
Episode,297,step,28,state,"(2, 22)",3,"(1, 38)",--,-0.297,-0.208,-0.224,0.100,-0.281,-0.146,-0.307,-0.487,-0.288,--,9,13,5,26,7,10,9,4,8,--,Epsilon = 0.32,-0.4
Episode,297,step,29,state,"(1, 38)",6,"(1, 40)",--,-0.146,-0.140,-0.426,-0.421,-0.009,-0.086,-0.006,-0.006,-0.116,--,1,1,1,1,0,1,0,0,1,--,Greedy,-0.2
Episode,297,step,30,state,"(1, 40)",5,"(2, 40)",--,-0.317,-0.341,-0.323,-0.358,-0.317,-0.289,-0.332,-0.366,-0.443,--,5,6,10,12,10,13,30,32,8,--,Greedy,-0.2
Episode,297,step,31,state,"(2, 40)",0,"(1, 40)",--,-0.113,-0.637,-0.495,-0.288,-0.212,-0.258,-0.195,-0.214,-0.197,--,24,27,17,11,31,25,46,60,18,--,Greedy,-0.2
Episode,297,step,33,state,"(1, 40)",5,"(1, 0)",--,-0.317,-0.341,-0.323,-0.358,-0.317,-0.314,-0.332,-0.366,-0.443,--,5,6,10,12,10,15,30,32,8,--,Greedy,0.8
Episode,297,step,34,state,"(1, 0)",3,"(2, 0)",--,0.235,-0.040,0.223,0.236,0.080,0.229,0.161,0.233,0.232,--,551,440,631,673,911,719,675,769,675,--,Epsilon = 0.32,-1
end
