 , , ,log2019-04-25_09-51-35,ep ,203,step ,22,r ,-0.940
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,203,step,1,state,"(1, 0)",8,"(1, 0)",--,0.234,0.230,0.234,0.233,0.187,0.234,0.223,0.231,0.233,--,391,256,449,353,648,507,496,533,457,--,Epsilon = 0.32,0
Episode,203,step,6,state,"(1, 0)",5,"(0, 0)",--,0.235,0.230,0.234,0.233,0.187,0.236,0.223,0.231,0.233,--,392,256,449,353,648,510,496,533,458,--,Greedy,0.1
Episode,203,step,7,state,"(0, 0)",3,"(1, 0)",--,0.138,0.197,0.188,0.199,0.142,-0.229,0.151,0.181,0.109,--,168,162,156,239,484,390,423,458,302,--,Greedy,0.1
Episode,203,step,8,state,"(1, 0)",1,"(0, 0)",--,0.235,0.230,0.234,0.233,0.187,0.227,0.223,0.231,0.233,--,392,256,449,353,648,511,496,533,458,--,Epsilon = 0.32,0.1
Episode,203,step,9,state,"(0, 0)",3,"(0, 4)",--,0.138,0.197,0.188,0.214,0.142,-0.229,0.151,0.181,0.109,--,168,162,156,240,484,390,423,458,302,--,Greedy,-0.12
Episode,203,step,11,state,"(0, 4)",3,"(1, 20)",--,0.048,0.063,0.021,0.061,0.036,0.053,0.062,0.156,0.050,--,11,27,13,17,27,34,8,47,48,--,Epsilon = 0.32,-0.12
Episode,203,step,12,state,"(1, 20)",3,"(0, 20)",--,0.239,0.237,0.233,0.243,0.237,0.019,0.112,-0.024,0.214,--,46,66,52,50,104,124,221,144,154,--,Greedy,0.1
Episode,203,step,18,state,"(0, 20)",1,"(0, 21)",--,0.228,-0.295,-0.085,-0.130,-0.060,-0.209,-0.455,0.164,0.031,--,85,67,54,50,82,116,60,194,141,--,Epsilon = 0.32,0.1
Episode,203,step,19,state,"(0, 21)",0,"(0, 41)",--,-0.160,-0.303,-0.445,-0.304,-0.424,-0.408,-0.493,-0.595,-0.221,--,7,2,5,2,22,18,3,19,24,--,Greedy,-0.8
Episode,203,step,22,state,"(0, 41)",1,"(0, 42)",--,-0.625,-0.615,-0.591,-0.773,-0.682,-0.671,-0.564,-0.427,-0.666,--,19,12,9,26,14,18,30,13,23,--,Epsilon = 0.32,-1
end
