 , , ,log2019-04-26_17-25-26,ep ,260,step ,42,r ,-0.060
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,260,step,1,state,"(1, 0)",3,"(1, 0)",--,0.231,0.233,0.230,0.235,-0.224,0.209,0.085,0.228,0.227,--,401,490,484,600,637,647,611,581,603,--,Greedy,0
Episode,260,step,4,state,"(1, 0)",0,"(0, 0)",--,0.231,0.233,0.230,0.236,-0.224,0.209,0.085,0.228,0.227,--,401,490,484,603,637,647,611,581,603,--,Epsilon = 0.32,0.1
Episode,260,step,8,state,"(0, 0)",8,"(0, 4)",--,0.206,0.155,0.192,0.112,0.175,0.184,0.158,0.182,0.237,--,276,272,283,365,464,481,471,643,539,--,Greedy,-0.12
Episode,260,step,9,state,"(0, 4)",7,"(1, 20)",--,0.062,0.069,0.056,0.074,0.068,0.080,0.043,0.084,0.066,--,15,31,32,42,28,39,33,19,65,--,Greedy,-0.12
Episode,260,step,10,state,"(1, 20)",2,"(2, 20)",--,0.250,0.270,0.192,0.237,0.274,0.272,0.327,0.279,0.039,--,35,34,40,47,48,107,102,159,230,--,Epsilon = 0.32,0.1
Episode,260,step,11,state,"(2, 20)",7,"(1, 4)",--,0.284,0.301,0.274,0.285,0.270,-0.228,0.284,0.452,0.084,--,147,78,174,172,143,182,201,256,276,--,Greedy,0.4
Episode,260,step,12,state,"(1, 4)",8,"(2, 4)",--,0.172,0.174,0.179,0.152,0.180,0.266,0.182,0.265,0.373,--,8,4,15,3,6,25,90,23,10,--,Epsilon = 0.32,0.1
Episode,260,step,13,state,"(2, 4)",5,"(2, 0)",--,0.458,0.415,0.431,0.347,0.354,0.527,0.408,0.422,0.446,--,23,41,19,31,21,54,49,86,54,--,Greedy,0.4
Episode,260,step,17,state,"(2, 0)",4,"(1, 0)",--,0.180,0.227,0.194,0.190,0.238,0.169,0.227,0.233,0.228,--,598,527,639,748,656,497,369,328,357,--,Greedy,0.1
Episode,260,step,18,state,"(1, 0)",3,"(0, 0)",--,0.234,0.233,0.230,0.236,-0.224,0.209,0.085,0.228,0.227,--,402,490,484,603,637,647,611,581,603,--,Greedy,0.1
Episode,260,step,19,state,"(0, 0)",6,"(1, 0)",--,0.206,0.155,0.192,0.112,0.175,0.184,0.158,0.182,0.108,--,276,272,283,365,464,481,471,643,540,--,Epsilon = 0.32,0.1
Episode,260,step,21,state,"(1, 0)",0,"(0, 0)",--,0.234,0.233,0.230,0.232,-0.224,0.209,0.085,0.228,0.227,--,402,490,484,605,637,647,611,581,603,--,Greedy,0.1
Episode,260,step,25,state,"(0, 0)",1,"(0, 20)",--,0.220,0.155,0.192,0.112,0.175,0.184,0.191,0.182,0.108,--,279,272,283,365,464,481,472,643,540,--,Epsilon = 0.32,-0.12
Episode,260,step,32,state,"(0, 20)",4,"(0, 21)",--,0.261,0.262,0.259,0.255,0.264,0.261,0.256,0.264,0.121,--,55,45,65,60,64,133,154,155,176,--,Epsilon = 0.32,0.1
Episode,260,step,34,state,"(0, 21)",3,"(0, 41)",--,-0.316,-0.258,-0.212,-0.028,-0.294,-0.218,-0.303,-0.640,-0.209,--,10,17,15,22,25,5,6,6,27,--,Greedy,-0.8
Episode,260,step,36,state,"(0, 41)",5,"(1, 41)",--,-0.425,-0.648,-0.605,-0.451,-0.526,-0.157,-0.590,-0.652,-0.412,--,6,19,14,9,15,52,8,21,23,--,Epsilon = 0.32,-0.2
Episode,260,step,39,state,"(1, 41)",4,"(2, 41)",--,-0.577,-0.555,-0.419,-0.437,-0.418,-0.644,-0.463,-0.477,-0.431,--,16,6,20,9,12,14,7,20,8,--,Greedy,-0.2
Episode,260,step,40,state,"(2, 41)",0,"(0, 41)",--,-0.399,-0.635,-0.400,-0.396,-0.412,-0.392,-0.362,-0.399,-0.647,--,12,24,26,17,12,12,23,11,12,--,Epsilon = 0.32,-0.2
Episode,260,step,42,state,"(0, 41)",5,"(1, 42)",--,-0.425,-0.648,-0.605,-0.451,-0.526,-0.310,-0.590,-0.652,-0.412,--,6,19,14,9,15,54,8,21,23,--,Greedy,-1
end
