 , , ,log2019-04-26_17-07-23,ep ,144,step ,52,r ,-0.690
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,144,step,1,state,"(1, 0)",8,"(1, 0)",--,0.230,0.214,0.221,0.233,0.206,0.195,0.220,0.216,0.238,--,186,255,255,361,420,382,298,339,339,--,Greedy,0
Episode,144,step,3,state,"(1, 0)",8,"(2, 0)",--,0.230,0.214,0.221,0.233,0.206,0.195,0.220,0.216,0.238,--,186,255,255,361,420,382,298,339,341,--,Greedy,0.1
Episode,144,step,9,state,"(2, 0)",0,"(0, 0)",--,0.116,0.192,0.188,0.235,0.072,0.222,0.226,0.201,0.176,--,327,243,389,390,331,298,204,166,178,--,Epsilon = 0.32,0.1
Episode,144,step,15,state,"(0, 0)",1,"(0, 4)",--,0.219,0.231,0.219,-0.075,-0.224,0.160,0.222,-0.036,0.196,--,126,150,152,257,279,241,233,312,325,--,Greedy,-0.12
Episode,144,step,16,state,"(0, 4)",8,"(0, 20)",--,0.038,0.075,0.066,0.134,0.039,0.060,0.057,0.010,0.061,--,9,21,26,19,23,27,21,2,15,--,Epsilon = 0.32,-0.12
Episode,144,step,19,state,"(0, 20)",5,"(1, 20)",--,0.257,0.235,0.209,0.258,0.180,0.258,0.247,-0.061,0.230,--,37,25,34,41,36,51,33,130,127,--,Greedy,0.1
Episode,144,step,21,state,"(1, 20)",4,"(0, 20)",--,0.278,0.273,0.273,-0.175,0.280,0.275,0.211,-0.255,-0.150,--,25,19,30,37,32,69,65,129,101,--,Greedy,0.1
Episode,144,step,24,state,"(0, 20)",7,"(2, 20)",--,0.257,0.235,0.226,0.258,0.180,0.256,0.247,-0.061,0.230,--,37,25,35,41,36,53,33,130,127,--,Epsilon = 0.32,0.1
Episode,144,step,28,state,"(2, 20)",2,"(1, 20)",--,0.289,0.302,0.408,0.307,0.338,0.394,0.307,0.305,0.297,--,99,33,106,113,77,108,77,128,155,--,Greedy,0.1
Episode,144,step,29,state,"(1, 20)",0,"(0, 20)",--,0.278,0.273,0.273,-0.175,0.268,0.275,0.211,-0.255,-0.150,--,25,19,30,37,33,69,65,129,101,--,Greedy,0.1
Episode,144,step,31,state,"(0, 20)",6,"(0, 40)",--,0.257,0.235,0.226,0.254,0.180,0.256,0.247,0.121,0.230,--,37,25,35,42,36,53,33,131,127,--,Epsilon = 0.32,-0.8
Episode,144,step,32,state,"(0, 40)",1,"(0, 41)",--,-0.257,-0.228,-0.201,-0.286,-0.423,-0.239,-0.219,-0.253,-0.493,--,4,3,2,4,1,3,4,4,5,--,Epsilon = 0.32,-0.2
Episode,144,step,34,state,"(0, 41)",3,"(1, 41)",--,-0.426,-0.443,-0.608,-0.484,-0.383,-0.331,-0.565,-0.380,-0.377,--,5,14,11,8,10,17,5,19,15,--,Epsilon = 0.32,-0.2
Episode,144,step,36,state,"(1, 41)",7,"(2, 41)",--,-0.388,-0.555,-0.364,-0.476,-0.375,-0.359,-0.478,-0.632,-0.435,--,8,6,7,8,7,7,6,18,7,--,Epsilon = 0.32,-0.2
Episode,144,step,40,state,"(2, 41)",1,"(1, 41)",--,-0.349,-0.361,-0.355,-0.361,-0.436,-0.353,-0.344,-0.368,-0.351,--,9,10,23,15,10,10,18,9,8,--,Epsilon = 0.32,-0.2
Episode,144,step,41,state,"(1, 41)",5,"(0, 41)",--,-0.388,-0.555,-0.364,-0.476,-0.375,-0.359,-0.478,-0.533,-0.435,--,8,6,7,8,7,7,6,19,7,--,Greedy,-0.2
Episode,144,step,42,state,"(0, 41)",8,"(2, 33)",--,-0.426,-0.443,-0.608,-0.451,-0.383,-0.331,-0.565,-0.380,-0.377,--,5,14,11,9,10,17,5,19,15,--,Epsilon = 0.32,0.15
Episode,144,step,43,state,"(2, 33)",5,"(2, 1)",--,-0.008,-0.084,0.235,-0.010,-0.007,0.252,-0.005,-0.005,-0.004,--,0,1,3,0,0,2,0,0,0,--,Greedy,0.8
Episode,144,step,45,state,"(2, 1)",2,"(1, 1)",--,-0.209,-0.296,0.034,-0.178,0.016,-0.046,-0.180,-0.275,-0.638,--,62,42,44,45,50,37,35,34,40,--,Greedy,0.1
Episode,144,step,46,state,"(1, 1)",0,"(0, 1)",--,0.184,-0.174,-0.207,-0.187,0.131,-0.219,-0.025,-0.173,-0.234,--,17,76,52,32,8,11,11,7,21,--,Greedy,0.1
Episode,144,step,47,state,"(0, 1)",4,"(0, 2)",--,0.196,0.183,-0.268,0.244,0.247,0.234,0.114,-0.090,0.246,--,36,43,78,45,47,29,51,21,28,--,Greedy,-0.8
Episode,144,step,51,state,"(0, 2)",2,"(0, 0)",--,-0.104,-0.044,-0.081,-0.168,-0.058,-0.259,-0.296,-0.320,-0.188,--,12,28,12,5,48,8,20,4,10,--,Epsilon = 0.32,0.8
Episode,144,step,52,state,"(0, 0)",0,"(0, 0)",--,0.219,0.116,0.219,-0.075,-0.224,0.160,0.222,-0.036,0.196,--,126,151,152,257,279,241,233,312,325,--,Epsilon = 0.32,-1
end
