 , , ,log2019-04-25_09-44-39,ep ,157,step ,26,r ,-1.220
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,157,step,1,state,"(1, 0)",3,"(1, 0)",--,0.230,0.231,0.235,0.235,0.235,0.102,0.227,0.235,0.232,--,296,191,339,305,506,402,396,449,349,--,Greedy,0
Episode,157,step,6,state,"(1, 0)",3,"(0, 0)",--,0.230,0.231,0.235,0.236,0.236,0.102,0.227,0.235,0.232,--,296,191,339,309,507,402,396,449,349,--,Greedy,0.1
Episode,157,step,7,state,"(0, 0)",7,"(1, 0)",--,-0.047,0.218,0.110,0.098,0.206,0.171,0.097,0.185,-0.224,--,139,117,123,194,392,298,351,311,262,--,Epsilon = 0.32,0.1
Episode,157,step,8,state,"(1, 0)",4,"(2, 0)",--,0.230,0.231,0.235,0.232,0.236,0.102,0.227,0.235,0.232,--,296,191,339,310,507,402,396,449,349,--,Greedy,0.1
Episode,157,step,9,state,"(2, 0)",2,"(1, 0)",--,0.209,0.130,0.234,0.204,0.184,0.132,0.173,0.121,0.119,--,327,488,362,437,336,291,221,240,170,--,Greedy,0.1
Episode,157,step,10,state,"(1, 0)",4,"(0, 0)",--,0.230,0.231,0.235,0.232,0.236,0.102,0.227,0.235,0.232,--,296,191,339,310,508,402,396,449,349,--,Greedy,0.1
Episode,157,step,14,state,"(0, 0)",1,"(0, 20)",--,-0.047,0.227,0.110,0.098,0.206,0.171,0.097,0.206,-0.224,--,139,120,123,194,392,298,351,312,262,--,Greedy,-0.12
Episode,157,step,17,state,"(0, 20)",0,"(0, 21)",--,0.238,0.110,0.229,-0.077,-0.245,-0.011,-0.307,0.057,0.168,--,63,35,32,48,54,100,42,168,110,--,Greedy,0.1
Episode,157,step,20,state,"(0, 21)",2,"(0, 41)",--,-0.160,-0.303,-0.026,-0.304,-0.093,0.071,-0.493,0.218,-0.210,--,7,2,4,2,19,17,3,17,17,--,Epsilon = 0.32,-0.8
Episode,157,step,21,state,"(0, 41)",6,"(1, 41)",--,-0.781,-0.502,-0.679,-0.505,-0.682,-0.576,-0.386,-0.605,-0.514,--,18,7,8,21,14,9,25,7,20,--,Greedy,-0.2
Episode,157,step,23,state,"(1, 41)",5,"(0, 41)",--,-0.432,-0.420,-0.369,-0.408,-0.498,-0.161,-0.426,-0.393,-0.587,--,5,16,10,18,8,7,13,16,13,--,Greedy,-0.2
Episode,157,step,24,state,"(0, 41)",6,"(2, 41)",--,-0.781,-0.502,-0.679,-0.505,-0.682,-0.576,-0.347,-0.605,-0.514,--,18,7,8,21,14,9,26,7,20,--,Greedy,-0.2
Episode,157,step,26,state,"(2, 41)",7,"(2, 42)",--,-0.425,-0.402,-0.398,-0.336,-0.528,-0.393,-0.396,-0.310,-0.399,--,4,11,10,28,9,19,9,12,11,--,Greedy,-1
end
