 , , ,log2019-04-25_09-57-44,ep ,239,step ,25,r ,-1.720
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,239,step,1,state,"(1, 0)",8,"(1, 0)",--,0.228,0.232,0.233,0.231,0.228,0.209,0.159,0.234,0.232,--,455,300,545,498,699,547,601,629,529,--,Epsilon = 0.32,0
Episode,239,step,2,state,"(1, 0)",7,"(2, 0)",--,0.228,0.232,0.233,0.231,0.228,0.209,0.159,0.234,0.232,--,455,300,545,498,699,547,601,629,530,--,Greedy,0.1
Episode,239,step,12,state,"(2, 0)",6,"(2, 1)",--,0.105,0.106,0.155,0.155,0.188,0.085,0.233,0.126,-0.240,--,462,746,640,621,469,393,374,336,260,--,Greedy,-0.12
Episode,239,step,15,state,"(2, 1)",8,"(2, 2)",--,-0.472,-0.133,-0.066,-0.275,-0.078,-0.309,-0.149,0.040,-0.213,--,48,108,57,143,76,80,76,72,49,--,Epsilon = 0.32,-0.8
Episode,239,step,16,state,"(2, 2)",2,"(2, 22)",--,-0.283,-0.234,0.364,-0.601,-0.318,-0.474,-0.438,-0.406,-0.254,--,10,22,48,20,32,23,31,48,61,--,Greedy,-0.2
Episode,239,step,20,state,"(2, 22)",6,"(1, 38)",--,-0.297,-0.212,-0.360,0.037,-0.281,-0.146,-0.237,-0.487,-0.288,--,9,12,3,20,7,10,8,4,8,--,Epsilon = 0.32,-0.4
Episode,239,step,21,state,"(1, 38)",8,"(2, 40)",--,-0.146,-0.140,-0.426,-0.421,-0.009,-0.086,-0.006,-0.006,-0.005,--,1,1,1,1,0,1,0,0,0,--,Greedy,-0.2
Episode,239,step,24,state,"(2, 40)",4,"(2, 0)",--,-0.169,-0.276,-0.168,-0.243,-0.129,-0.183,-0.189,-0.153,-0.197,--,20,16,15,10,20,23,41,47,18,--,Greedy,0.8
Episode,239,step,25,state,"(2, 0)",4,"(2, 0)",--,0.105,0.106,0.155,0.155,0.188,0.085,0.072,0.126,-0.240,--,462,746,640,621,469,393,375,336,260,--,Epsilon = 0.32,-1
end
