 , , ,log2019-04-25_09-18-47,ep ,6,step ,36,r ,-2.590
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,6,step,1,state,"(1, 0)",0,"(1, 0)",--,0.169,0.000,0.000,0.000,0.078,0.000,0.000,0.042,0.000,--,10,0,0,1,2,0,0,1,0,--,Greedy,0
Episode,6,step,4,state,"(1, 0)",0,"(0, 0)",--,0.169,0.083,0.000,0.000,0.128,0.000,0.000,0.042,0.000,--,11,1,0,1,3,0,0,1,0,--,Greedy,0.1
Episode,6,step,8,state,"(0, 0)",2,"(0, 4)",--,0.004,-0.009,0.190,-0.010,0.110,0.088,-0.067,0.074,0.069,--,2,0,8,0,2,1,3,1,1,--,Greedy,-0.12
Episode,6,step,9,state,"(0, 4)",8,"(0, 20)",--,-0.010,-0.008,-0.005,-0.008,-0.024,0.016,-0.008,-0.007,-0.052,--,0,0,0,0,1,2,0,0,1,--,Epsilon = 0.32,-0.12
Episode,6,step,16,state,"(0, 20)",6,"(0, 21)",--,0.201,-0.004,0.155,0.115,0.040,0.122,-0.007,-0.009,-0.005,--,22,0,3,2,1,2,0,0,0,--,Epsilon = 0.32,0.1
Episode,6,step,17,state,"(0, 21)",2,"(0, 25)",--,-0.336,-0.004,-0.337,-0.009,-0.007,-0.002,-0.343,-0.339,-0.003,--,1,0,1,0,0,0,1,1,0,--,Epsilon = 0.32,-0.8
Episode,6,step,18,state,"(0, 25)",6,"(0, 41)",--,-0.001,-0.169,-0.006,-0.008,-0.001,-0.005,-0.006,-0.004,-0.004,--,0,1,0,0,0,0,0,0,0,--,Epsilon = 0.32,-0.4
Episode,6,step,19,state,"(0, 41)",3,"(1, 41)",--,-0.090,-0.423,-0.329,-0.086,-0.153,-0.425,-0.090,-0.136,-0.470,--,1,1,2,1,2,1,1,2,2,--,Greedy,-0.2
Episode,6,step,23,state,"(1, 41)",8,"(2, 41)",--,-0.004,-0.084,-0.005,-0.135,-0.005,-0.087,-0.009,-0.087,-0.004,--,0,1,0,2,0,1,0,1,0,--,Epsilon = 0.32,-0.2
Episode,6,step,27,state,"(2, 41)",3,"(1, 41)",--,-0.006,-0.009,-0.002,-0.084,-0.085,-0.085,-0.009,-0.009,-0.010,--,0,0,0,1,1,1,0,0,0,--,Epsilon = 0.32,-0.2
Episode,6,step,28,state,"(1, 41)",0,"(0, 34)",--,-0.004,-0.084,-0.005,-0.135,-0.005,-0.087,-0.009,-0.087,-0.086,--,0,1,0,2,0,1,0,1,1,--,Greedy,-0.2
Episode,6,step,29,state,"(0, 34)",5,"(0, 2)",--,-0.007,-0.009,-0.006,-0.007,-0.008,-0.001,-0.007,-0.010,-0.002,--,0,0,0,0,0,0,0,0,0,--,Greedy,0.15
Episode,6,step,33,state,"(0, 2)",1,"(0, 0)",--,-0.086,-0.001,-0.084,-0.007,-0.008,-0.001,-0.010,-0.009,-0.084,--,1,0,1,0,0,0,0,0,1,--,Greedy,0.8
Episode,6,step,36,state,"(0, 0)",4,"(0, 0)",--,0.004,-0.009,0.064,-0.010,0.151,0.088,-0.067,0.074,0.069,--,2,0,9,0,4,1,3,1,1,--,Greedy,-1
end
