 , , ,log2019-04-26_17-06-50,ep ,139,step ,37,r ,0.480
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,139,step,1,state,"(1, 0)",8,"(1, 0)",--,0.214,0.125,0.157,0.214,0.147,0.118,0.220,0.144,0.227,--,184,252,252,358,418,380,298,336,285,--,Greedy,0
Episode,139,step,3,state,"(1, 0)",8,"(2, 0)",--,0.214,0.125,0.157,0.214,0.147,0.118,0.220,0.144,0.229,--,184,252,252,358,418,380,298,336,287,--,Greedy,0.1
Episode,139,step,13,state,"(2, 0)",6,"(2, 1)",--,0.202,0.205,0.188,0.201,-0.237,0.170,0.232,0.117,0.205,--,299,222,389,384,329,295,198,162,166,--,Greedy,-0.12
Episode,139,step,16,state,"(2, 1)",4,"(1, 1)",--,-0.209,-0.296,-0.108,-0.477,0.092,-0.046,-0.180,-0.006,-0.638,--,62,42,43,44,42,37,35,29,40,--,Greedy,0.1
Episode,139,step,17,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.297,-0.187,0.131,0.224,-0.025,-0.173,0.232,--,17,76,46,32,8,9,11,7,20,--,Greedy,0.1
Episode,139,step,21,state,"(0, 1)",4,"(1, 1)",--,0.196,0.183,0.214,0.244,0.250,0.234,0.016,-0.090,0.248,--,36,43,77,45,41,29,50,21,27,--,Greedy,0.1
Episode,139,step,22,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.277,-0.187,0.131,0.224,-0.025,-0.173,0.232,--,17,76,47,32,8,9,11,7,20,--,Greedy,0.1
Episode,139,step,25,state,"(0, 1)",4,"(1, 1)",--,0.196,0.183,0.214,0.244,0.249,0.234,0.016,-0.090,0.248,--,36,43,77,45,44,29,50,21,27,--,Greedy,0.1
Episode,139,step,26,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.264,-0.187,0.131,0.224,-0.025,-0.173,0.232,--,17,76,48,32,8,9,11,7,20,--,Greedy,0.1
Episode,139,step,29,state,"(0, 1)",6,"(1, 1)",--,0.196,0.183,0.214,0.244,0.247,0.234,0.016,-0.090,0.248,--,36,43,77,45,47,29,50,21,27,--,Epsilon = 0.32,0.1
Episode,139,step,31,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.253,-0.187,0.131,0.224,-0.025,-0.173,0.232,--,17,76,50,32,8,9,11,7,20,--,Greedy,0.1
Episode,139,step,32,state,"(0, 1)",8,"(1, 1)",--,0.196,0.183,0.214,0.244,0.247,0.234,0.114,-0.090,0.248,--,36,43,77,45,47,29,51,21,27,--,Greedy,0.1
Episode,139,step,33,state,"(1, 1)",2,"(1, 2)",--,0.184,-0.174,0.249,-0.187,0.131,0.224,-0.025,-0.173,0.232,--,17,76,51,32,8,9,11,7,20,--,Greedy,-0.8
Episode,139,step,37,state,"(1, 2)",4,"(2, 2)",--,-0.137,-0.135,-0.239,-0.217,-0.129,-0.169,-0.422,-0.198,-0.272,--,9,17,6,10,9,7,4,15,7,--,Greedy,-1
end
