 , , ,log2019-04-26_16-51-15,ep ,45,step ,35,r ,-2.120
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,45,step,1,state,"(1, 0)",4,"(1, 0)",--,0.237,0.237,0.236,0.236,0.236,0.236,0.237,0.237,0.235,--,36,78,41,65,232,124,70,107,61,--,Epsilon = 0.32,0
Episode,45,step,6,state,"(1, 0)",7,"(2, 0)",--,0.237,0.237,0.236,0.237,0.237,0.236,0.237,0.238,0.235,--,36,78,41,66,234,124,70,109,61,--,Greedy,0.1
Episode,45,step,16,state,"(2, 0)",6,"(2, 1)",--,-0.031,0.075,0.199,0.142,0.187,0.183,0.220,0.203,0.144,--,102,36,82,100,45,73,60,62,41,--,Greedy,-0.12
Episode,45,step,19,state,"(2, 1)",3,"(1, 1)",--,-0.186,0.002,0.002,-0.200,0.107,0.173,-0.046,0.135,-0.265,--,22,16,17,13,5,14,4,12,14,--,Epsilon = 0.32,0.1
Episode,45,step,20,state,"(1, 1)",1,"(0, 1)",--,0.135,0.292,0.175,0.116,0.119,0.152,0.130,0.123,0.168,--,1,29,13,1,1,2,7,1,7,--,Greedy,0.1
Episode,45,step,22,state,"(0, 1)",6,"(1, 1)",--,-0.112,0.275,0.303,0.272,0.299,0.376,0.228,0.234,0.304,--,5,12,60,4,14,11,3,4,11,--,Epsilon = 0.32,0.1
Episode,45,step,23,state,"(1, 1)",6,"(2, 2)",--,0.135,0.310,0.175,0.116,0.119,0.152,0.130,0.123,0.168,--,1,30,13,1,1,2,7,1,7,--,Epsilon = 0.32,-0.8
Episode,45,step,26,state,"(2, 2)",0,"(0, 2)",--,-0.159,-0.447,-0.452,-0.408,-0.493,-0.235,-0.309,-0.173,-0.234,--,4,3,3,3,2,4,11,2,5,--,Greedy,-0.2
Episode,45,step,35,state,"(0, 2)",2,"(2, 2)",--,-0.151,-0.125,-0.100,-0.157,-0.145,-0.155,-0.150,-0.371,-0.443,--,2,4,8,2,17,2,2,3,6,--,Greedy,-1
end
