 , , ,log2019-04-26_17-11-48,ep ,183,step ,42,r ,0.060
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,183,step,1,state,"(1, 0)",2,"(1, 0)",--,0.232,0.113,0.233,0.235,0.207,0.232,0.224,0.181,0.229,--,237,277,311,389,474,455,411,378,433,--,Epsilon = 0.32,0
Episode,183,step,6,state,"(1, 0)",3,"(0, 0)",--,0.232,0.113,0.233,0.236,0.220,0.232,0.224,0.181,0.229,--,237,277,312,392,475,455,411,378,433,--,Greedy,0.1
Episode,183,step,7,state,"(0, 0)",7,"(1, 0)",--,0.201,0.206,0.206,0.092,0.179,0.209,0.178,0.227,0.079,--,150,171,172,267,339,280,328,349,360,--,Greedy,0.1
Episode,183,step,9,state,"(1, 0)",3,"(0, 0)",--,0.232,0.113,0.233,0.235,0.220,0.232,0.224,0.181,0.229,--,237,277,312,394,475,455,411,378,433,--,Greedy,0.1
Episode,183,step,10,state,"(0, 0)",7,"(1, 0)",--,0.201,0.206,0.206,0.092,0.179,0.209,0.178,0.231,0.079,--,150,171,172,267,339,280,328,350,360,--,Greedy,0.1
Episode,183,step,13,state,"(1, 0)",8,"(1, 4)",--,0.232,0.113,0.233,0.236,0.220,0.232,0.224,0.181,0.229,--,237,277,312,397,475,455,411,378,433,--,Epsilon = 0.32,-0.12
Episode,183,step,14,state,"(1, 4)",8,"(2, 0)",--,0.142,0.174,0.185,0.052,0.242,0.197,0.368,0.277,0.170,--,7,4,12,1,5,4,77,7,1,--,Epsilon = 0.32,0.4
Episode,183,step,25,state,"(2, 0)",4,"(1, 0)",--,0.153,0.183,0.155,-0.061,0.133,0.221,0.115,0.186,0.176,--,380,332,467,478,376,394,260,203,245,--,Epsilon = 0.32,0.1
Episode,183,step,27,state,"(1, 0)",8,"(2, 0)",--,0.232,0.113,0.233,0.236,0.220,0.232,0.224,0.181,0.172,--,237,277,312,398,475,455,411,378,434,--,Epsilon = 0.32,0.1
Episode,183,step,28,state,"(2, 0)",5,"(2, 1)",--,0.153,0.183,0.155,-0.061,0.176,0.221,0.115,0.186,0.176,--,380,332,467,478,377,394,260,203,245,--,Greedy,-0.12
Episode,183,step,32,state,"(2, 1)",6,"(2, 2)",--,-0.031,-0.021,-0.005,-0.234,-0.379,-0.162,-0.088,0.164,-0.192,--,78,60,56,88,60,41,44,45,63,--,Epsilon = 0.32,-0.8
Episode,183,step,34,state,"(2, 2)",4,"(2, 22)",--,-0.259,-0.248,-0.259,-0.217,0.174,-0.241,-0.261,-0.575,-0.314,--,18,14,27,20,9,29,16,53,12,--,Greedy,-0.2
Episode,183,step,37,state,"(2, 22)",3,"(2, 36)",--,-0.297,-0.319,-0.295,-0.263,-0.272,-0.262,0.138,-0.245,-0.259,--,13,6,5,11,11,5,6,4,3,--,Epsilon = 0.32,-0.2
Episode,183,step,38,state,"(2, 36)",5,"(1, 40)",--,-0.269,-0.227,-0.251,-0.686,-0.370,-0.150,-0.185,-0.219,-0.367,--,2,2,2,2,1,3,2,2,1,--,Greedy,-0.4
Episode,183,step,39,state,"(1, 40)",7,"(2, 40)",--,-0.235,-0.247,-0.177,-0.157,-0.510,-0.408,-0.372,-0.175,-0.215,--,4,2,2,3,3,7,5,3,4,--,Epsilon = 0.32,-0.2
Episode,183,step,41,state,"(2, 40)",4,"(2, 0)",--,-0.323,-0.239,-0.332,-0.353,-0.000,-0.553,-0.244,-0.509,-0.408,--,6,7,2,11,11,17,7,6,4,--,Greedy,0.8
Episode,183,step,42,state,"(2, 0)",1,"(2, 0)",--,0.153,0.183,0.155,-0.061,0.176,0.104,0.115,0.186,0.176,--,380,332,467,478,377,395,260,203,245,--,Epsilon = 0.32,-1
end
