 , , ,log2019-04-26_16-51-20,ep ,46,step ,42,r ,-1.160
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,46,step,1,state,"(1, 0)",0,"(1, 0)",--,0.237,0.237,0.236,0.237,0.237,0.236,0.237,0.226,0.235,--,36,78,41,66,234,124,70,110,61,--,Greedy,0
Episode,46,step,2,state,"(1, 0)",0,"(0, 0)",--,0.237,0.237,0.236,0.237,0.237,0.236,0.237,0.226,0.235,--,37,78,41,66,234,124,70,110,61,--,Greedy,0.1
Episode,46,step,5,state,"(0, 0)",6,"(1, 0)",--,0.210,0.146,0.175,0.219,0.223,0.113,0.238,0.217,0.217,--,36,28,19,51,48,56,57,49,112,--,Greedy,0.1
Episode,46,step,6,state,"(1, 0)",0,"(0, 0)",--,0.237,0.237,0.236,0.237,0.237,0.236,0.237,0.226,0.235,--,38,78,41,66,234,124,70,110,61,--,Greedy,0.1
Episode,46,step,7,state,"(0, 0)",0,"(0, 4)",--,0.210,0.146,0.175,0.219,0.223,0.113,0.238,0.217,0.217,--,36,28,19,51,48,56,58,49,112,--,Epsilon = 0.32,-0.12
Episode,46,step,8,state,"(0, 4)",4,"(0, 20)",--,-0.012,-0.006,0.006,0.003,0.096,0.094,-0.005,-0.031,0.035,--,3,3,3,4,16,13,0,1,2,--,Greedy,-0.12
Episode,46,step,10,state,"(0, 20)",8,"(1, 20)",--,-0.034,0.098,-0.021,0.191,0.158,-0.009,0.209,-0.137,0.296,--,22,12,12,8,7,25,11,18,49,--,Greedy,0.1
Episode,46,step,11,state,"(1, 20)",7,"(2, 20)",--,0.251,0.246,0.265,0.266,0.259,0.250,0.262,0.365,0.242,--,16,5,14,14,14,36,30,65,5,--,Greedy,0.1
Episode,46,step,14,state,"(2, 20)",2,"(2, 0)",--,0.161,0.082,0.269,0.268,0.273,0.284,0.313,0.379,0.470,--,56,3,40,35,8,4,11,8,35,--,Epsilon = 0.32,0.4
Episode,46,step,23,state,"(2, 0)",7,"(2, 1)",--,-0.031,0.075,0.199,0.178,0.187,0.183,0.112,0.227,0.179,--,102,36,82,101,45,73,61,68,42,--,Epsilon = 0.32,-0.12
Episode,46,step,27,state,"(2, 1)",5,"(1, 2)",--,-0.186,0.002,0.002,0.088,0.107,0.194,-0.046,0.135,-0.265,--,22,16,17,15,5,16,4,12,14,--,Greedy,-0.8
Episode,46,step,28,state,"(1, 2)",2,"(0, 2)",--,-0.142,-0.090,-0.096,-0.141,-0.088,-0.154,-0.167,-0.189,-0.135,--,3,8,1,3,1,2,2,3,2,--,Epsilon = 0.32,-0.2
Episode,46,step,33,state,"(0, 2)",7,"(1, 2)",--,-0.209,-0.187,-0.500,-0.157,-0.203,-0.155,-0.207,-0.371,-0.443,--,3,5,9,2,18,2,3,3,6,--,Epsilon = 0.32,-0.2
Episode,46,step,34,state,"(1, 2)",4,"(2, 2)",--,-0.142,-0.090,-0.170,-0.141,-0.088,-0.154,-0.167,-0.189,-0.135,--,3,8,2,3,1,2,2,3,2,--,Greedy,-0.2
Episode,46,step,35,state,"(2, 2)",0,"(0, 2)",--,-0.093,-0.447,-0.452,-0.408,-0.493,-0.235,-0.309,-0.173,-0.234,--,5,3,3,3,2,4,11,2,5,--,Greedy,-0.2
Episode,46,step,39,state,"(0, 2)",8,"(1, 2)",--,-0.209,-0.230,-0.500,-0.214,-0.203,-0.212,-0.207,-0.320,-0.443,--,3,6,9,3,18,3,3,4,6,--,Epsilon = 0.32,-0.2
Episode,46,step,40,state,"(1, 2)",1,"(1, 0)",--,-0.142,-0.090,-0.170,-0.141,-0.158,-0.154,-0.167,-0.189,-0.135,--,3,8,2,3,2,2,2,3,2,--,Greedy,0.8
Episode,46,step,41,state,"(1, 0)",1,"(0, 0)",--,0.238,0.237,0.236,0.237,0.237,0.236,0.237,0.226,0.235,--,39,78,41,66,234,124,70,110,61,--,Epsilon = 0.32,0.1
Episode,46,step,42,state,"(0, 0)",5,"(2, 0)",--,0.095,0.146,0.175,0.219,0.223,0.113,0.238,0.217,0.217,--,37,28,19,51,48,56,58,49,112,--,Epsilon = 0.32,-1
end
