 , , ,log2019-04-26_17-06-56,ep ,141,step ,25,r ,-1.220
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,141,step,1,state,"(1, 0)",8,"(1, 0)",--,0.214,0.170,0.157,0.214,0.147,0.118,0.220,0.144,0.224,--,184,253,252,358,418,380,298,336,291,--,Greedy,0
Episode,141,step,3,state,"(1, 0)",8,"(2, 0)",--,0.214,0.170,0.157,0.214,0.147,0.118,0.220,0.144,0.227,--,184,253,252,358,418,380,298,336,293,--,Greedy,0.1
Episode,141,step,10,state,"(2, 0)",8,"(2, 1)",--,0.202,0.205,0.188,0.201,-0.237,0.197,0.090,0.059,0.233,--,299,222,389,384,329,296,199,163,176,--,Greedy,-0.12
Episode,141,step,14,state,"(2, 1)",4,"(2, 2)",--,-0.209,-0.296,-0.108,-0.178,0.206,-0.046,-0.180,0.089,-0.638,--,62,42,43,45,47,37,35,30,40,--,Greedy,-0.8
Episode,141,step,15,state,"(2, 2)",2,"(1, 18)",--,-0.321,-0.075,-0.030,-0.552,-0.301,-0.241,-0.260,-0.171,-0.333,--,9,10,12,11,5,29,15,42,9,--,Greedy,-0.2
Episode,141,step,16,state,"(1, 18)",2,"(0, 22)",--,-0.089,-0.134,-0.086,-0.090,-0.093,-0.088,-0.089,-0.087,-0.107,--,1,2,1,1,1,1,1,1,1,--,Greedy,-0.2
Episode,141,step,18,state,"(0, 22)",6,"(1, 18)",--,-0.085,-0.086,-0.006,-0.129,-0.005,0.280,-0.005,-0.087,0.018,--,1,1,0,5,0,4,0,1,1,--,Epsilon = 0.32,-0.2
Episode,141,step,19,state,"(1, 18)",2,"(1, 22)",--,-0.089,-0.134,-0.027,-0.090,-0.093,-0.088,-0.089,-0.087,-0.107,--,1,2,2,1,1,1,1,1,1,--,Greedy,-0.2
Episode,141,step,20,state,"(1, 22)",7,"(2, 22)",--,-0.150,-0.174,-0.086,-0.087,-0.090,-0.231,-0.135,-0.088,-0.178,--,3,1,1,1,1,2,2,1,2,--,Epsilon = 0.32,-0.2
Episode,141,step,22,state,"(2, 22)",1,"(0, 20)",--,0.257,-0.153,-0.295,-0.237,-0.229,-0.262,-0.273,-0.391,-0.259,--,7,3,4,8,10,5,3,3,3,--,Epsilon = 0.32,0.8
Episode,141,step,25,state,"(0, 20)",7,"(2, 36)",--,0.257,0.224,0.209,0.258,0.180,0.258,0.247,0.269,0.230,--,37,24,34,41,36,51,33,128,127,--,Greedy,-1
end
