 , , ,log2019-04-25_09-46-22,ep ,171,step ,36,r ,-1.760
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,171,step,1,state,"(1, 0)",1,"(1, 0)",--,0.229,0.234,0.231,0.214,0.227,0.227,0.222,0.233,0.230,--,312,205,361,331,515,443,420,472,376,--,Greedy,0
Episode,171,step,5,state,"(1, 0)",0,"(0, 0)",--,0.229,0.235,0.231,0.214,0.227,0.227,0.222,0.233,0.233,--,312,208,361,331,515,443,420,472,377,--,Epsilon = 0.32,0.1
Episode,171,step,8,state,"(0, 0)",7,"(1, 0)",--,0.167,0.182,0.115,0.153,0.150,0.161,0.181,0.237,0.079,--,149,128,133,205,414,314,357,359,264,--,Greedy,0.1
Episode,171,step,9,state,"(1, 0)",1,"(1, 4)",--,0.233,0.235,0.231,0.214,0.227,0.227,0.222,0.233,0.233,--,313,208,361,331,515,443,420,472,377,--,Epsilon = 0.32,-0.12
Episode,171,step,10,state,"(1, 4)",4,"(0, 20)",--,0.196,0.314,0.231,0.269,0.186,0.230,0.177,0.055,0.374,--,9,9,8,13,27,8,37,15,47,--,Epsilon = 0.32,-0.12
Episode,171,step,11,state,"(0, 20)",8,"(1, 20)",--,0.137,0.145,0.220,-0.130,0.148,-0.011,0.099,0.138,0.276,--,69,42,48,50,57,100,44,169,132,--,Greedy,0.1
Episode,171,step,12,state,"(1, 20)",7,"(2, 20)",--,0.219,0.244,0.245,0.246,0.231,0.242,-0.230,0.246,0.249,--,41,51,48,45,94,93,219,117,148,--,Epsilon = 0.32,0.1
Episode,171,step,13,state,"(2, 20)",8,"(2, 4)",--,0.232,0.268,0.213,0.163,0.184,0.204,0.097,0.131,0.410,--,133,138,137,142,143,252,109,197,126,--,Greedy,0.4
Episode,171,step,14,state,"(2, 4)",8,"(2, 0)",--,0.426,0.326,0.352,0.413,0.468,0.424,0.504,0.430,0.398,--,21,66,7,26,5,30,58,42,5,--,Epsilon = 0.32,0.4
Episode,171,step,21,state,"(2, 0)",7,"(2, 1)",--,0.126,0.123,0.079,-0.043,0.122,0.107,0.110,0.227,-0.317,--,334,526,394,468,344,302,235,261,181,--,Greedy,-0.12
Episode,171,step,25,state,"(2, 1)",2,"(2, 18)",--,-0.711,-0.330,-0.350,-0.187,-0.146,-0.206,-0.019,-0.047,0.094,--,32,70,45,116,52,54,56,42,33,--,Epsilon = 0.32,-0.8
Episode,171,step,26,state,"(2, 18)",4,"(2, 22)",--,-0.156,-0.088,-0.058,-0.089,-0.009,-0.130,-0.087,-0.042,-0.024,--,2,6,3,1,0,1,1,2,2,--,Greedy,-0.2
Episode,171,step,27,state,"(2, 22)",1,"(1, 22)",--,-0.321,-0.374,-0.360,-0.253,-0.281,-0.182,-0.301,-0.487,-0.288,--,8,3,3,10,7,7,3,4,8,--,Epsilon = 0.32,-0.2
Episode,171,step,28,state,"(1, 22)",3,"(0, 22)",--,-0.089,-0.134,-0.105,0.251,-0.091,-0.513,-0.169,-0.138,-0.106,--,1,2,2,8,2,6,1,2,2,--,Greedy,-0.2
Episode,171,step,30,state,"(0, 22)",3,"(1, 38)",--,-0.002,-0.007,-0.085,0.030,-0.005,-0.166,-0.104,0.029,-0.085,--,1,0,1,7,0,3,2,6,2,--,Greedy,-0.4
Episode,171,step,32,state,"(1, 38)",0,"(0, 40)",--,-0.003,-0.003,-0.426,-0.421,-0.009,-0.086,-0.006,-0.006,-0.005,--,0,0,1,1,0,1,0,0,0,--,Greedy,-0.2
Episode,171,step,34,state,"(0, 40)",5,"(1, 40)",--,-0.591,-0.355,-0.559,-0.461,-0.369,-0.288,-0.367,-0.365,-0.525,--,7,8,6,4,6,14,2,7,8,--,Greedy,-0.2
Episode,171,step,35,state,"(1, 40)",0,"(0, 40)",--,-0.271,-0.252,-0.260,-0.290,-0.301,-0.268,-0.260,-0.288,-0.627,--,4,4,6,5,7,11,15,6,7,--,Epsilon = 0.32,-0.2
Episode,171,step,36,state,"(0, 40)",5,"(2, 40)",--,-0.591,-0.355,-0.559,-0.461,-0.369,-0.312,-0.367,-0.365,-0.525,--,7,8,6,4,6,15,2,7,8,--,Greedy,-1
end
