 , , ,log2019-04-26_16-48-00,ep ,25,step ,29,r ,-1.340
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,25,step,1,state,"(1, 0)",4,"(1, 0)",--,0.224,0.224,0.221,0.227,0.228,0.214,-0.234,0.137,0.219,--,24,24,10,31,34,98,45,59,26,--,Greedy,0
Episode,25,step,9,state,"(1, 0)",4,"(2, 0)",--,0.224,0.224,0.221,0.231,0.234,0.214,-0.234,0.179,0.219,--,24,24,10,32,40,98,45,60,26,--,Greedy,0.1
Episode,25,step,11,state,"(2, 0)",2,"(1, 0)",--,0.215,0.115,0.075,0.115,0.229,0.162,0.121,0.148,0.189,--,20,21,50,60,27,52,14,41,26,--,Epsilon = 0.32,0.1
Episode,25,step,12,state,"(1, 0)",2,"(0, 0)",--,0.224,0.224,0.221,0.231,0.233,0.214,-0.234,0.179,0.219,--,24,24,10,32,41,98,45,60,26,--,Epsilon = 0.32,0.1
Episode,25,step,15,state,"(0, 0)",2,"(0, 4)",--,0.183,0.087,0.202,0.101,0.096,0.139,-0.248,0.180,0.097,--,18,18,5,15,25,7,11,40,41,--,Greedy,-0.12
Episode,25,step,16,state,"(0, 4)",5,"(0, 20)",--,-0.005,-0.027,0.002,-0.008,-0.006,0.038,-0.005,-0.031,-0.039,--,1,2,1,0,0,9,0,1,1,--,Greedy,-0.12
Episode,25,step,23,state,"(0, 20)",2,"(0, 25)",--,0.115,0.034,0.213,-0.028,-0.036,-0.100,-0.004,0.092,-0.043,--,14,11,10,5,5,10,0,1,28,--,Greedy,-0.8
Episode,25,step,24,state,"(0, 25)",2,"(0, 41)",--,-0.008,-0.001,-0.010,-0.007,-0.003,-0.007,-0.002,-0.001,-0.001,--,0,0,0,0,0,0,0,0,0,--,Epsilon = 0.32,-0.4
Episode,25,step,27,state,"(0, 41)",7,"(1, 41)",--,-0.213,-0.228,-0.219,-0.438,-0.337,-0.278,-0.499,-0.353,-0.218,--,3,4,4,4,2,3,3,2,4,--,Epsilon = 0.32,-0.2
Episode,25,step,28,state,"(1, 41)",0,"(0, 41)",--,-0.108,-0.090,-0.126,-0.088,-0.096,-0.010,-0.147,-0.109,-0.087,--,1,1,1,1,1,0,2,1,1,--,Epsilon = 0.32,-0.2
Episode,25,step,29,state,"(0, 41)",0,"(0, 42)",--,-0.213,-0.228,-0.219,-0.438,-0.337,-0.278,-0.499,-0.291,-0.218,--,3,4,4,4,2,3,3,3,4,--,Greedy,-1
end
