 , , ,log2019-04-25_09-43-36,ep ,148,step ,30,r ,-0.420
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,148,step,1,state,"(1, 0)",8,"(1, 0)",--,0.184,0.203,0.231,0.222,0.232,0.192,0.209,0.224,0.236,--,292,187,328,280,467,395,394,424,300,--,Greedy,0
Episode,148,step,3,state,"(1, 0)",8,"(2, 0)",--,0.184,0.203,0.231,0.222,0.232,0.192,0.209,0.224,0.236,--,292,187,328,280,467,395,394,424,302,--,Greedy,0.1
Episode,148,step,13,state,"(2, 0)",7,"(2, 1)",--,0.209,0.201,0.233,0.188,0.146,0.057,0.220,0.238,0.119,--,327,446,343,414,335,290,218,234,170,--,Greedy,-0.12
Episode,148,step,15,state,"(2, 1)",2,"(1, 1)",--,-0.711,-0.202,0.030,-0.340,-0.398,-0.206,-0.130,-0.309,-0.242,--,32,57,37,115,34,54,49,40,24,--,Greedy,0.1
Episode,148,step,17,state,"(1, 1)",7,"(2, 1)",--,-0.255,-0.054,-0.185,-0.259,-0.028,0.148,-0.072,0.180,-0.023,--,78,63,39,19,18,27,16,17,12,--,Greedy,0.1
Episode,148,step,19,state,"(2, 1)",2,"(0, 1)",--,-0.711,-0.202,0.127,-0.340,-0.398,-0.206,-0.130,-0.309,-0.242,--,32,57,39,115,34,54,49,40,24,--,Greedy,0.1
Episode,148,step,20,state,"(0, 1)",5,"(0, 2)",--,0.217,0.127,0.053,0.255,-0.179,0.269,0.267,0.244,0.321,--,79,44,38,34,82,32,35,15,46,--,Epsilon = 0.32,-0.8
Episode,148,step,22,state,"(0, 2)",7,"(1, 2)",--,-0.372,-0.541,-0.600,-0.253,0.184,-0.359,-0.496,-0.353,-0.455,--,25,14,18,23,23,18,21,9,17,--,Epsilon = 0.32,-0.2
Episode,148,step,23,state,"(1, 2)",6,"(2, 2)",--,-0.316,-0.611,-0.380,-0.376,-0.296,-0.294,-0.290,-0.299,-0.293,--,9,42,5,5,17,8,8,4,12,--,Greedy,-0.2
Episode,148,step,26,state,"(2, 2)",7,"(2, 18)",--,-0.321,-0.446,-0.264,-0.405,-0.299,-0.311,-0.277,-0.053,-0.168,--,4,9,28,8,27,14,22,24,21,--,Greedy,-0.2
Episode,148,step,27,state,"(2, 18)",2,"(2, 20)",--,-0.109,-0.088,-0.008,-0.089,-0.009,-0.130,-0.087,-0.049,-0.024,--,1,6,0,1,0,1,1,1,2,--,Greedy,0.8
Episode,148,step,28,state,"(2, 20)",0,"(0, 20)",--,0.447,0.254,-0.079,-0.243,-0.116,0.251,0.255,0.253,-0.228,--,126,97,133,139,140,224,106,193,118,--,Greedy,0.1
Episode,148,step,30,state,"(0, 20)",5,"(2, 20)",--,0.157,-0.155,0.246,0.246,-0.245,0.247,0.247,-0.300,0.114,--,56,33,22,46,54,98,34,166,109,--,Greedy,-1
end
