 , , ,log2019-04-25_09-51-28,ep ,201,step ,25,r ,-3.420
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,201,step,1,state,"(1, 0)",7,"(1, 0)",--,0.234,0.230,0.234,0.233,0.187,0.234,0.223,0.237,0.231,--,391,256,449,353,648,500,496,530,456,--,Greedy,0
Episode,201,step,2,state,"(1, 0)",7,"(2, 0)",--,0.234,0.230,0.234,0.233,0.187,0.234,0.223,0.237,0.231,--,391,256,449,353,648,500,496,531,456,--,Greedy,0.1
Episode,201,step,8,state,"(2, 0)",8,"(2, 1)",--,0.214,0.181,0.138,-0.200,0.121,0.220,0.001,0.221,0.232,--,418,618,503,508,398,348,289,297,216,--,Greedy,-0.12
Episode,201,step,12,state,"(2, 1)",4,"(2, 2)",--,0.117,-0.303,-0.541,-0.087,0.279,-0.077,-0.094,-0.553,-0.536,--,36,83,46,138,69,69,60,56,43,--,Greedy,-0.8
Episode,201,step,13,state,"(2, 2)",7,"(2, 18)",--,-0.283,-0.271,-0.259,-0.411,-0.287,-0.284,-0.287,0.408,-0.217,--,5,15,37,19,29,21,25,34,52,--,Greedy,-0.2
Episode,201,step,14,state,"(2, 18)",3,"(2, 22)",--,-0.156,-0.088,-0.058,-0.089,-0.134,-0.130,-0.087,-0.042,0.134,--,2,6,3,1,1,1,1,2,4,--,Epsilon = 0.32,-0.2
Episode,201,step,15,state,"(2, 22)",1,"(1, 22)",--,-0.321,-0.034,-0.360,-0.200,-0.281,-0.208,-0.068,-0.487,-0.288,--,8,9,3,14,7,8,4,4,8,--,Greedy,-0.2
Episode,201,step,16,state,"(1, 22)",1,"(0, 22)",--,-0.136,-0.134,-0.105,-0.107,0.069,-0.513,-0.169,-0.079,-0.106,--,2,2,2,11,5,6,1,3,2,--,Epsilon = 0.32,-0.2
Episode,201,step,18,state,"(0, 22)",3,"(0, 18)",--,-0.002,-0.007,-0.088,0.186,-0.005,-0.166,-0.104,-0.198,-0.134,--,1,0,2,10,0,3,2,8,3,--,Greedy,-0.2
Episode,201,step,19,state,"(0, 18)",0,"(0, 2)",--,-0.003,-0.010,-0.006,-0.008,-0.085,-0.003,0.334,-0.009,-0.008,--,0,0,0,0,1,1,1,0,0,--,Epsilon = 0.32,-0.2
Episode,201,step,24,state,"(0, 2)",3,"(1, 2)",--,-0.382,-0.220,-0.446,-0.388,-0.379,-0.426,-0.459,-0.319,-0.257,--,29,23,20,28,31,20,22,13,22,--,Epsilon = 0.32,-0.2
Episode,201,step,25,state,"(1, 2)",2,"(2, 2)",--,-0.316,-0.611,-0.182,-0.533,-0.296,-0.610,-0.529,-0.299,-0.281,--,9,42,6,7,17,10,11,4,20,--,Greedy,-1
end
